Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1992:Q2,Next 9%,35.6,33.3,28.4,22.5,37.9,37.8,34.3,36.5,18.8,20.5,8.9,36.9
1992:Q2,Next 40%,36.2,37.6,47.1,42.9,18.3,48.1,18.9,32,46.7,50.2,38.9,25.8
1992:Q2,Bottom 50%,4.1,7.8,13.2,21.2,1.6,4.3,1.7,5.3,30.6,25.7,50.8,14.5
1992:Q3,Top 1%,24.1,21.3,11.5,12.5,42.9,10.1,45.1,25.6,4,3.6,1.2,23.5
1992:Q3,Next 9%,35.4,33.2,27.8,22.9,37.3,37.6,34.9,36.7,19.4,21.3,9,36.8
1992:Q3,Next 40%,36.2,37.5,46.7,43.3,18.2,48,18.3,32.4,45.5,48.6,38.6,25.7
1992:Q3,Bottom 50%,4.3,8,14,21.3,1.6,4.3,1.7,5.4,31.2,26.4,51.1,14.1
1992:Q4,Top 1%,24.7,21.8,11.3,12.9,44.3,9.6,46.2,26.5,4,3.7,1.2,23.7
1992:Q4,Next 9%,35.1,32.9,27.5,22.6,36.9,38,33.4,36.1,19,21,8.9,34
1992:Q4,Next 40%,36.2,37.4,47.2,43.1,17.2,48.4,18.8,32,44.8,47.7,38.4,26
1992:Q4,Bottom 50%,4,7.9,14,21.4,1.6,4.1,1.6,5.4,32.2,27.5,51.6,16.4
1993:Q1,Top 1%,25.2,22.3,11.5,13.7,44.7,9.5,47,27.3,4,3.7,1,22.6
1993:Q1,Next 9%,35,32.8,28.1,22,36.9,37.6,32.5,35.7,18.4,20,9.2,33.4
1993:Q1,Next 40%,35.8,37.3,47.1,42.8,16.8,48.7,18.8,31.7,46.6,50.7,36.2,26
1993:Q1,Bottom 50%,4,7.7,13.4,21.6,1.6,4.2,1.6,5.4,31.1,25.5,53.6,18
1993:Q2,Top 1%,25.3,22.4,11.2,13.7,44.7,9.3,47.4,28.2,4.1,3.8,1,22.9
1993:Q2,Next 9%,34.7,32.4,27.7,22,37,37.6,31.7,34.9,18.1,19.8,9,30.9
1993:Q2,Next 40%,36,37.3,47.3,42.6,16.7,48.9,19.2,31.5,45.7,49.7,35.6,26.2
1993:Q2,Bottom 50%,4,7.8,13.8,21.8,1.6,4.2,1.7,5.4,32.2,26.7,54.4,20
1993:Q3,Top 1%,25.6,22.6,11,13.6,45.3,9.1,48,28.9,4.2,3.9,1.1,21.4
1993:Q3,Next 9%,34.4,32.1,27.2,21.9,36.8,37.6,31.1,34.3,17.8,19.5,8.7,31.6
1993:Q3,Next 40%,36.1,37.3,47.6,42.4,16.3,49.1,19.3,31.3,45.2,49.2,35.5,26.1
1993:Q3,Bottom 50%,4,7.9,14.2,22.1,1.6,4.2,1.7,5.5,32.8,27.4,54.7,20.9
1993:Q4,Top 1%,26.1,23,11,13.8,45.9,8.8,48.7,30,4.2,4,1.2,20.5
1993:Q4,Next 9%,34.1,31.8,27.1,21.6,36.4,37.8,30.3,33.4,17.4,19.2,8.2,31.4
1993:Q4,Next 40%,35.9,37.2,47.6,42.1,16.1,49.2,19.4,31.2,45.3,49.2,36.4,26
1993:Q4,Bottom 50%,3.9,8,14.3,22.5,1.6,4.1,1.6,5.5,33.1,27.6,54.2,22.1
1994:Q1,Top 1%,26,23,11.1,13.9,45.5,8.6,48,31,4.3,4.1,1.3,20.6
