Date,Category,Net worth (% of Total),Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2003:Q3,Bottom 50%,2.5,7,12.1,21.8,1.2,3.4,1.4,4.6,30.2,24.9,51.3,8.9
2003:Q4,Top 1%,27.1,23.7,13.6,14.4,45.2,6.4,50.4,31.9,5.8,5.4,1.5,40.6
2003:Q4,Next 9%,35.7,32.5,27.4,21.3,36.1,42.5,30.1,31.9,16,17.8,8.1,29.6
2003:Q4,Next 40%,34.5,36.7,46.1,42.4,17.6,47.7,18.2,31.7,48.2,52.3,39.3,19.9
2003:Q4,Bottom 50%,2.7,7.1,12.8,21.9,1.1,3.4,1.3,4.6,30,24.5,51.1,10
2004:Q1,Top 1%,27.8,24.3,14.1,14.5,46.1,6.3,50.7,32.9,5.8,5.4,1.5,39.8
2004:Q1,Next 9%,35.7,32.6,27.2,21.2,35.8,42.8,29.7,33.1,16.1,17.7,8.3,31.7
2004:Q1,Next 40%,34.1,36.3,46.7,42.4,17.1,47.6,18.3,29.8,48.2,52.6,38.6,19.5
2004:Q1,Bottom 50%,2.4,6.7,12,21.9,1,3.4,1.3,4.2,29.8,24.4,51.6,8.9
2004:Q2,Top 1%,27.7,24.2,14.1,14.3,46.1,6.1,51.3,32.5,5.8,5.3,1.5,39.7
2004:Q2,Next 9%,35.6,32.6,27,21.4,35.9,43,29.1,33.4,16.7,18.2,8.4,33.3
2004:Q2,Next 40%,34.5,36.4,46.7,42.4,17,47.6,18.3,30,46.8,50.7,38.4,19.1
2004:Q2,Bottom 50%,2.2,6.8,12.1,21.9,1,3.3,1.2,4.2,30.7,25.8,51.7,8
2004:Q3,Top 1%,27.6,24.2,13.9,14.3,46.4,6,51.2,32.7,5.8,5.3,1.7,42.1
2004:Q3,Next 9%,35.8,32.7,27.4,21.6,35.9,43.2,28.9,33.5,16.4,18,8.2,32.4
2004:Q3,Next 40%,34.1,36.2,46.1,42.4,16.7,47.5,18.6,29.7,47.4,51.2,38.9,18.5
2004:Q3,Bottom 50%,2.4,6.9,12.6,21.7,0.9,3.3,1.3,4.1,30.3,25.5,51.2,7
2004:Q4,Top 1%,28.2,24.6,13.9,14.4,47.1,6.4,51.5,32.8,5.5,5.2,1.5,33.8
2004:Q4,Next 9%,35.6,32.7,27.4,21.3,35.9,43.3,29.9,32.5,17.1,18.5,8.4,39.7
2004:Q4,Next 40%,34,35.9,46.3,42.2,16,47,17.3,30.5,46.2,49.7,38.8,19
2004:Q4,Bottom 50%,2.2,6.8,12.4,22.1,0.9,3.3,1.3,4.1,31.2,26.7,51.3,7.5
2005:Q1,Top 1%,27.9,24.3,13.9,14,46.9,6.5,50.3,32.5,5.4,5.2,1.7,32.1
2005:Q1,Next 9%,36.1,33.1,27.6,21.6,36.3,43.4,31.2,33.4,16.8,17.9,8.4,40.5
2005:Q1,Next 40%,33.6,35.8,46.2,42.1,15.9,46.7,17.1,29.8,47.1,51,37.9,19.2
2005:Q1,Bottom 50%,2.4,6.9,12.4,22.3,0.9,3.3,1.4,4.2,30.7,25.9,52.1,8.2
2005:Q2,Top 1%,28,24.3,13.6,13.9,47,6.8,49.8,32.8,5.3,5,1.7,32
2005:Q2,Next 9%,36.4,33.3,28.1,21.5,36.5,43.4,32,33.2,16.8,18,8.3,39.4
2005:Q2,Next 40%,33.2,35.4,45.6,42,15.6,46.4,16.7,29.8,47,50.8,37.7,19.3
2005:Q2,Bottom 50%,2.5,7,12.7,22.6,0.9,3.4,1.5,4.2,30.9,26.2,52.3,9.2
2005:Q3,Top 1%,28.1,24.4,13.4,13.8,47.5,7,49.7,32.5,5.1,4.8,1.7,31.9
2005:Q3,Next 9%,36.5,33.4,28.2,21.6,36.5,43.5,32.6,32.9,17,18.3,8.3,38.3
2005:Q3,Next 40%,33,35.1,45.4,41.9,15.1,46.1,16.2,30.3,46.2,49.6,37.7,19.6
2005:Q3,Bottom 50%,2.5,7.1,13,22.7,0.9,3.4,1.5,4.3,31.7,27.2,52.3,10.3
2005:Q4,Top 1%,28.1,24.4,13.4,13.6,47.5,7.3,49.4,32.7,5,4.7,1.6,34.2
2005:Q4,Next 9%,36.4,33.3,28.2,21.6,36.7,43.5,33.2,32.2,17.2,18.8,8.2,34
2005:Q4,Next 40%,33.1,35.1,45.4,41.8,14.9,45.9,15.8,30.8,45.1,48.1,37.8,19.7
2005:Q4,Bottom 50%,2.3,7.2,13,22.9,0.9,3.4,1.6,4.4,32.7,28.4,52.4,12.1
2006:Q1,Top 1%,28.7,24.9,13.1,13.8,48.7,7.5,49.3,32.3,4.8,4.5,1.5,31.8
2006:Q1,Next 9%,36.9,33.8,28.7,21.4,36.3,43.4,33.7,34,17.6,19.2,8.3,35.6
2006:Q1,Next 40%,32.1,34,44.6,41.7,14.1,45.6,15.4,29.5,44.3,47.2,37.4,19.8
2006:Q1,Bottom 50%,2.3,7.3,13.7,23.2,0.9,3.4,1.6,4.3,33.2,29.1,52.7,12.8
2006:Q2,Top 1%,28.4,24.5,13.1,13.4,48.2,7.7,48.5,32.1,4.8,4.4,1.7,31.9
2006:Q2,Next 9%,37.2,34,28.7,21.6,36.7,43.4,34.4,34.5,17.8,19.4,8.2,34.3
2006:Q2,Next 40%,32.2,34.1,44.5,41.6,14.2,45.5,15.4,29.1,43.6,46.2,37.2,19.8
2006:Q2,Bottom 50%,2.2,7.4,13.7,23.4,0.9,3.4,1.7,4.3,33.8,29.9,53,14
2006:Q3,Top 1%,28.7,24.7,13,13.4,48.4,7.9,48.7,32.1,4.7,4.3,1.7,30
2006:Q3,Next 9%,37.1,33.9,28.7,21.5,36.7,43.4,34.7,33.8,18,19.7,8.2,35.4
2006:Q3,Next 40%,32.2,34,44.5,41.5,14,45.2,14.9,29.9,42.9,45.3,37.3,20
2006:Q3,Bottom 50%,2,7.4,13.8,23.6,0.9,3.5,1.7,4.3,34.4,30.7,52.8,14.6
2006:Q4,Top 1%,29.1,25,12.8,13.6,49.2,8.2,49.1,31.5,4.6,4.2,1.6,26.4
2006:Q4,Next 9%,36.9,33.9,28.9,21.1,36.4,43.3,34.8,32.9,18.4,19.9,8.3,38.5
2006:Q4,Next 40%,31.9,33.6,44.1,41.3,13.5,45,14.4,31.1,42.6,44.9,37.3,20.2
2006:Q4,Bottom 50%,2.1,7.5,14.2,23.9,0.9,3.5,1.7,4.5,34.5,31,52.7,14.8
2007:Q1,Top 1%,29.2,25.1,12.5,13.6,49.7,8.5,48.6,31,4.4,4.1,1.7,26.5
2007:Q1,Next 9%,37.4,34.3,29.3,21,36.2,43.3,35.3,34.6,18.6,20.2,8.4,37.5
2007:Q1,Next 40%,31.2,33,43.4,41.2,13.2,44.8,14.4,30,41.9,44.2,36.5,20.1
2007:Q1,Bottom 50%,2.1,7.6,14.8,24.2,0.9,3.5,1.8,4.4,35.1,31.5,53.4,15.8
2007:Q2,Top 1%,29.4,25.2,12.4,13.9,50,8.8,48.7,30.2,4.2,4,1.6,21.9
2007:Q2,Next 9%,37.6,34.5,29.5,20.6,36.1,43.1,35.6,35,19,20.3,8.5,42.9
2007:Q2,Next 40%,30.9,32.7,43.1,41,13,44.5,13.9,30.4,41.6,43.9,36.5,20.2
2007:Q2,Bottom 50%,2.1,7.6,15,24.6,0.9,3.5,1.8,4.4,35.1,31.8,53.4,14.9
2007:Q3,Top 1%,29.7,25.4,12.5,13.8,50,9.1,48.3,30.7,4.2,3.9,1.7,23.6
2007:Q3,Next 9%,37.6,34.5,29.5,20.6,36,43,36,34.7,18.8,20.4,8.3,38.7
2007:Q3,Next 40%,30.8,32.6,43.1,40.8,13,44.3,13.8,30.3,41.7,43.7,37.1,20.6
2007:Q3,Bottom 50%,1.9,7.5,14.9,24.8,1,3.5,1.8,4.3,35.4,32,52.9,17.1
2007:Q4,Top 1%,29.7,25.3,12.4,13.7,49.3,8.9,48.2,32.5,4.2,3.9,2,22.2
2007:Q4,Next 9%,37.7,34.4,29.8,20.6,36.6,43.1,35.7,33.6,18.8,20.4,7.9,40.9
2007:Q4,Next 40%,30.8,32.7,42.6,40.8,13.2,44.6,14.2,29.8,41.7,43.7,37.8,20.7
2007:Q4,Bottom 50%,1.8,7.6,15.2,24.9,0.9,3.4,1.9,4.2,35.3,32.1,52.4,16.2
2008:Q1,Top 1%,29.2,24.8,12,13,48.1,8.4,47.2,33.8,4.3,3.9,2.3,20.5
2008:Q1,Next 9%,38.3,34.9,30.2,21.1,37.3,43.2,35.6,34.8,19.1,20.6,7.4,43.7
2008:Q1,Next 40%,30.7,32.5,41.9,40.9,13.7,45.1,15.2,27.4,41,43,37.7,20.6
2008:Q1,Bottom 50%,1.8,7.8,15.9,24.9,1,3.3,2,4,35.6,32.6,52.7,15.2
2008:Q2,Top 1%,28.8,24.4,12.2,12.7,47.5,8.3,46.9,33.5,4.3,3.8,2.3,24.8
2008:Q2,Next 9%,38.6,35.1,30.1,21.4,37.7,43.1,35.4,35.9,19.3,21.4,7.1,37.8
2008:Q2,Next 40%,31.3,32.7,42,41,13.9,45.3,15.6,26.7,39.4,40.6,38,20.5
2008:Q2,Bottom 50%,1.3,7.7,15.7,24.9,0.9,3.3,2.1,3.9,37.1,34.2,52.6,16.9
2008:Q3,Top 1%,28.3,23.8,12.6,12.3,45.7,7.9,45.8,34.1,4.3,3.9,2.7,19.2
2008:Q3,Next 9%,39.2,35.5,30,21.8,38.9,43.5,35.6,36.6,19.4,21,6.7,45.1
2008:Q3,Next 40%,31.4,33.1,42.3,41,14.5,45.5,16.4,25.5,40.1,41.8,38.2,20.8
2008:Q3,Bottom 50%,1.1,7.6,15.1,24.9,0.9,3.2,2.2,3.8,36.1,33.4,52.5,14.8
2008:Q4,Top 1%,26.8,22.7,12.4,11.2,41.9,7.1,43,35.7,4.8,3.9,3.2,37
2008:Q4,Next 9%,39.8,35.6,30.4,23.1,41,44.1,36.2,34.6,17.7,20.7,5.7,18.5
2008:Q4,Next 40%,32.2,33.9,41.7,41.3,16.1,45.9,18.3,25.9,41.3,42.7,38.7,21.5
2008:Q4,Bottom 50%,1.2,7.9,15.5,24.5,0.9,3,2.5,3.9,36.2,32.7,52.5,23.1
2009:Q1,Top 1%,25.8,21.8,11.7,10.7,40.1,6.8,41.5,35.1,4.9,4,3.5,42.8
2009:Q1,Next 9%,41,36.5,31,23.7,42.3,44.3,36.6,36.8,17.2,20.3,5.6,11.1
2009:Q1,Next 40%,31.5,33.5,40.5,41.4,16.7,45.9,19.1,24.4,42,43.7,37.6,21.7
2009:Q1,Bottom 50%,1.7,8.2,16.8,24.2,0.9,2.9,2.7,3.7,35.9,32,53.3,24.4
2009:Q2,Top 1%,26.6,22.5,12.1,11.1,43.4,7.3,42.6,34.5,4.8,3.9,3.2,39.8
2009:Q2,Next 9%,40.4,36.1,30.9,23.3,40.5,43.8,36.2,36.3,17.8,20.7,6.1,14.1
2009:Q2,Next 40%,31.7,33.5,40.8,41.5,15.2,45.9,18.6,25.4,40.8,42.4,36.8,22.3
2009:Q2,Bottom 50%,1.2,7.9,16.2,24.2,0.9,3,2.6,3.8,36.6,32.9,53.8,23.9
2009:Q3,Top 1%,27.5,23.3,12.6,11.5,45.9,7.7,44.1,33.4,4.8,4,3.2,35.7
2009:Q3,Next 9%,40.4,36.3,30.6,22.9,39.2,43.4,35.6,38.1,17.9,20.6,6.6,19.1
2009:Q3,Next 40%,31.2,32.9,41.4,41.6,14,45.8,17.8,24.8,40.7,42.5,36.3,22.8
2009:Q3,Bottom 50%,0.9,7.5,15.5,24.1,0.9,3,2.5,3.7,36.5,32.9,53.9,22.5
2009:Q4,Top 1%,28.3,24,12.7,11.7,46.4,7.9,44.8,35.3,4.8,4,3.2,31.9
2009:Q4,Next 9%,39.2,35.4,30.8,22.5,39.1,43.3,35.2,33.9,18.2,20.7,6.8,23.8
2009:Q4,Next 40%,31.6,33.2,41.2,41.5,13.7,45.8,17.5,27,40.5,42.4,35.8,23.1
2009:Q4,Bottom 50%,0.9,7.4,15.4,24.2,0.8,3,2.5,3.8,36.6,32.9,54.2,21.2
2010:Q1,Top 1%,28.3,24.1,13,11.8,47.2,8.1,45.5,33.8,4.9,4,3.1,30.3
2010:Q1,Next 9%,39.9,36,30.7,22.4,38.7,43.3,34.9,37.1,18.4,20.9,7.2,21.4
2010:Q1,Next 40%,31.2,32.7,41.4,41.6,13.2,45.6,17.1,25.4,39.9,42,34.6,24.4
2010:Q1,Bottom 50%,0.6,7.2,14.9,24.1,0.8,3,2.5,3.7,36.9,33.1,55.2,23.9
2010:Q2,Top 1%,28,23.9,13.4,11.1,46.2,8,44.4,34.5,4.9,4,3.3,28.4
2010:Q2,Next 9%,40.2,36.3,30.7,23.4,39.6,43.5,35.2,37.3,18.6,21.2,6.7,24
2010:Q2,Next 40%,31.4,32.8,41.5,41.9,13.5,45.6,17.8,24.6,39.1,41.1,34.4,24.5
2010:Q2,Bottom 50%,0.4,7,14.5,23.7,0.8,2.9,2.6,3.6,37.3,33.7,55.6,23.2
2010:Q3,Top 1%,28.7,24.5,13.1,11.3,47.7,8.3,45.7,34.6,4.9,4.1,3.2,27.2
2010:Q3,Next 9%,39.8,36.2,31,23.1,38.8,43.3,34.7,36.8,18.8,21.4,7,26.2
2010:Q3,Next 40%,30.9,32.3,40.7,42,12.7,45.4,17.1,25.1,38.7,40.7,34.1,24.6
2010:Q3,Bottom 50%,0.6,7,15.3,23.5,0.8,2.9,2.5,3.5,37.5,33.9,55.7,22
2010:Q4,Top 1%,29.2,25,13,12.1,48.4,8.3,46.1,35.5,4.8,4.1,3,24.8
2010:Q4,Next 9%,39.1,35.6,31.2,22.5,38.2,43.3,34.7,34,18.9,21.3,6.9,30.9
2010:Q4,Next 40%,31,32.5,40.5,41.8,12.6,45.4,16.7,26.9,39.5,41.6,35.5,23.5
2010:Q4,Bottom 50%,0.7,7,15.3,23.6,0.8,2.9,2.4,3.7,36.8,33,54.6,20.8
2011:Q1,Top 1%,29.4,25.2,13.5,12.6,48.9,8.3,46.8,34,4.7,4.1,2.8,23.4
2011:Q1,Next 9%,39.4,36,31,22.1,37.7,43.3,34.6,36.3,19.4,21.7,7.2,34.3
2011:Q1,Next 40%,30.7,32.1,41.1,41.6,12.6,45.5,16.4,26,38.9,41.1,34.6,22.5
2011:Q1,Bottom 50%,0.4,6.7,14.5,23.8,0.8,2.9,2.3,3.7,36.9,33.2,55.4,19.8
2011:Q2,Top 1%,29.6,25.4,14,12.8,48.6,8.1,46.5,34.4,4.7,4.1,2.7,24.4
2011:Q2,Next 9%,39.3,36,30.9,21.9,37.8,43.4,34.8,36,19.3,21.7,7.1,34.3
2011:Q2,Next 40%,30.8,32.2,41.4,41.4,12.8,45.6,16.4,25.9,39.4,41.9,34.5,21.6
2011:Q2,Bottom 50%,0.3,6.4,13.7,23.9,0.8,2.9,2.2,3.7,36.5,32.4,55.6,19.7
2011:Q3,Top 1%,28.4,24.3,13.6,12.1,46.3,7.6,44.3,35.1,4.9,4.1,2.9,28.5
2011:Q3,Next 9%,40,36.4,31,23,39.1,43.7,35.8,36.3,19,21.9,6.3,27.5
2011:Q3,Next 40%,31.2,32.6,41.1,41.4,13.8,45.8,17.5,25,39.2,41.4,35,21.3
2011:Q3,Bottom 50%,0.4,6.7,14.4,23.5,0.8,2.9,2.3,3.6,36.9,32.6,55.7,22.7
2011:Q4,Top 1%,28.9,24.8,13.4,12.7,46.8,7.5,45.5,35.7,4.9,4.1,2.7,29.3
2011:Q4,Next 9%,39.3,35.9,31.2,22.4,38.7,43.8,35.5,33.9,18.8,21.9,6.6,25.4
2011:Q4,Next 40%,31.2,32.6,40.6,41.3,13.7,45.8,16.8,26.7,39.7,42.1,35,20.9
2011:Q4,Bottom 50%,0.6,6.7,14.8,23.6,0.8,2.9,2.2,3.7,36.6,31.9,55.7,24.4
2012:Q1,Top 1%,29.3,25.3,13.6,13.6,48,7.6,46.8,34.3,4.7,4,2.3,27.9
2012:Q1,Next 9%,39.5,36.2,31.3,21.7,37.9,43.8,35.2,35.6,19.3,22.2,7.2,28.5
2012:Q1,Next 40%,30.6,32,40.5,41,13.3,45.7,16,26.3,39.3,42,33.9,20
2012:Q1,Bottom 50%,0.6,6.5,14.5,23.8,0.8,2.9,2,3.8,36.6,31.8,56.6,23.6
2012:Q2,Top 1%,29,25,14.1,13.4,47.3,7.3,46,34.4,4.8,4.1,2.3,30.1
2012:Q2,Next 9%,39.8,36.4,31,22.1,38.2,44,35.7,36.4,19.2,22.4,6.9,25.6
2012:Q2,Next 40%,30.8,32.2,41,41,13.7,45.8,16.3,25.5,39.3,42,34.1,19.1
2012:Q2,Bottom 50%,0.4,6.4,13.9,23.5,0.8,2.9,2,3.7,36.7,31.6,56.7,25.2
2012:Q3,Top 1%,29.5,25.5,14,13.8,47.9,7.2,46.7,35,4.8,4.1,2.2,28.5
2012:Q3,Next 9%,39.3,36.1,31,21.9,37.8,44,35.7,35.2,19.1,22.1,7,28.3
2012:Q3,Next 40%,30.5,32.1,40.9,40.9,13.6,45.8,15.9,26.1,40,43,34.2,18.5
2012:Q3,Bottom 50%,0.6,6.3,14.1,23.4,0.8,2.9,1.8,3.7,36.2,30.8,56.7,24.7
2012:Q4,Top 1%,29.5,25.6,14,13.8,47.7,7.1,46.2,35.4,4.6,4,2,26.1
2012:Q4,Next 9%,39.1,36,31,22,37.7,44.1,36,34.7,19.6,22.8,6.7,31.4
2012:Q4,Next 40%,30.8,32.1,40.9,40.8,13.8,45.9,15.9,26.1,39,41.7,34.5,17.9
2012:Q4,Bottom 50%,0.6,6.3,14.1,23.4,0.8,2.9,1.8,3.7,36.7,31.4,56.8,24.5
2013:Q1,Top 1%,30,26.1,14.5,14.6,49,7.1,47.3,34.8,4.7,4.2,1.9,26.1
2013:Q1,Next 9%,39,35.9,30.8,21.4,36.9,44.1,35.9,34.9,18.9,21.6,7.3,31.7
2013:Q1,Next 40%,30.1,31.9,41.3,40.6,13.4,45.9,15.2,26.5,41.6,45.7,33.6,17.2
2013:Q1,Bottom 50%,0.9,6.1,13.4,23.5,0.8,2.9,1.6,3.8,34.8,28.6,57.2,25.1
2013:Q2,Top 1%,29.8,25.9,14.6,14.8,49,7,47.4,34,4.7,4.2,1.7,26.1
2013:Q2,Next 9%,39.2,36.1,30.6,21.4,36.7,44.3,36,36.1,18.9,21.7,7.3,31
2013:Q2,Next 40%,30.1,31.9,41.5,40.5,13.5,45.9,15,26,41.6,45.8,33.6,16.1
2013:Q2,Bottom 50%,0.9,6.1,13.3,23.3,0.8,2.9,1.5,3.8,34.8,28.3,57.3,26.8
2013:Q3,Top 1%,30.1,26.3,14.8,15,49.5,7,47.8,34.6,4.6,4.1,1.6,25.9
2013:Q3,Next 9%,38.6,35.7,30.3,21.3,36.2,44.2,36.1,34.8,19.1,22,7.4,31.9
2013:Q3,Next 40%,30.4,32,41.8,40.4,13.5,45.9,14.7,26.7,41.2,45.2,33.8,15
2013:Q3,Bottom 50%,0.9,6,13.2,23.3,0.8,2.9,1.4,3.9,35.1,28.6,57.2,27.2
2013:Q4,Top 1%,30.6,26.8,14.9,15.5,50.1,7.3,49.8,34.3,4.6,4.3,1.5,24.2
2013:Q4,Next 9%,38.2,35.4,30.3,20.7,36.1,44.3,34.9,33.5,19.1,21.8,7.8,33.2
2013:Q4,Next 40%,30.3,32,42,40.6,13.1,45.6,14,28.1,41.7,46,34,16.2
2013:Q4,Bottom 50%,0.9,5.8,12.8,23.1,0.8,2.8,1.3,4.1,34.6,27.9,56.7,26.4
2014:Q1,Top 1%,30.7,27,15,15.6,50.6,7.4,50.2,33.9,4.8,4.4,1.6,25.8
2014:Q1,Next 9%,38.4,35.6,30.4,20.7,35.9,44.4,34.5,34.7,19,21.8,7.9,31
2014:Q1,Next 40%,29.9,31.7,42.1,40.8,12.8,45.4,14,27.4,42,46.5,33.6,16.6
2014:Q1,Bottom 50%,0.9,5.7,12.4,22.9,0.8,2.8,1.4,4,34.3,27.4,56.9,26.6
2014:Q2,Top 1%,31.1,27.3,14.9,15.8,51.1,7.5,51.1,33.7,4.8,4.4,1.6,23.3
2014:Q2,Next 9%,38.2,35.5,30.6,20.4,35.7,44.6,33.8,34.5,19.2,21.9,7.9,34.8
2014:Q2,Next 40%,29.8,31.5,42,41,12.5,45.2,13.7,27.8,41.9,46.4,34.1,17.3
2014:Q2,Bottom 50%,1,5.7,12.5,22.8,0.8,2.8,1.3,4.1,34.1,27.3,56.4,24.6
2014:Q3,Top 1%,30.9,27.2,14.9,15.8,50.9,7.4,51.6,33.2,4.9,4.5,1.8,23.2
2014:Q3,Next 9%,38.5,35.7,30.7,20.3,35.9,44.7,33.4,35.5,19.2,21.9,7.8,35.3
2014:Q3,Next 40%,29.7,31.4,42,41.2,12.5,45.1,13.7,27.2,42.2,46.6,34.6,17.7
2014:Q3,Bottom 50%,1,5.7,12.4,22.7,0.8,2.7,1.4,4,33.8,27,55.8,23.9
2014:Q4,Top 1%,31.4,27.7,15,16.1,51.2,7.5,52.5,34,4.9,4.6,1.8,24.2
2014:Q4,Next 9%,38.1,35.4,30.8,19.9,35.7,44.9,32.8,34.2,19,21.8,7.8,33.2
2014:Q4,Next 40%,29.5,31.3,42,41.3,12.3,44.9,13.4,27.8,42.7,47.2,35,18
2014:Q4,Bottom 50%,1,5.6,12.1,22.7,0.7,2.7,1.3,4,33.4,26.4,55.3,24.7
2015:Q1,Top 1%,31.5,27.9,15.1,16.1,51.5,7.5,52.8,33.6,5.1,4.7,2,25
2015:Q1,Next 9%,38.3,35.6,30.9,19.8,35.6,44.9,32.4,35.2,18.8,21.6,7.9,31.2
2015:Q1,Next 40%,29.2,31.1,42.1,41.5,12.2,44.8,13.4,27.3,43.2,48.1,34.5,18.2
2015:Q1,Bottom 50%,1.1,5.5,11.8,22.6,0.7,2.7,1.3,4,33,25.6,55.6,25.6
2015:Q2,Top 1%,31.3,27.7,15.1,16.1,51.5,7.5,53,33,5.1,4.7,2.1,24.5
2015:Q2,Next 9%,38.4,35.7,31.1,19.6,35.6,45,32.1,35.9,18.7,21.6,7.7,31.3
2015:Q2,Next 40%,29.1,31.1,42.1,41.5,12.1,44.8,13.5,27.1,43.5,48.4,35.1,18.5
2015:Q2,Bottom 50%,1.1,5.5,11.8,22.7,0.7,2.7,1.3,4,32.7,25.3,55.1,25.7
2015:Q3,Top 1%,30.8,27.2,15,15.4,50.7,7.4,52.3,33.6,5.3,4.8,2.4,28.5
2015:Q3,Next 9%,38.7,35.9,31,20.3,36.1,45.1,32.2,36.2,18.2,21.7,7.2,24.2
2015:Q3,Next 40%,29.4,31.4,42.2,41.8,12.5,44.8,14.1,26.2,43.5,48,36,18.6
2015:Q3,Bottom 50%,1.1,5.6,11.8,22.5,0.7,2.7,1.4,3.9,33,25.5,54.5,28.8
2015:Q4,Top 1%,31.2,27.7,15.1,15.8,51.1,7.5,53.3,34.3,5.3,4.8,2.3,27.9
2015:Q4,Next 9%,38.1,35.4,30.9,19.8,35.9,45.2,31.6,34.4,18.4,21.8,7.7,23.2
2015:Q4,Next 40%,29.6,31.4,42.4,41.9,12.2,44.6,13.6,27.4,43.1,47.7,34.9,19.3
2015:Q4,Bottom 50%,1.1,5.5,11.6,22.6,0.7,2.6,1.4,4,33.2,25.7,55.1,29.7
2016:Q1,Top 1%,31.1,27.7,15.1,15.8,51.3,7.6,53.6,33.7,5.5,4.9,2.4,29.7
2016:Q1,Next 9%,38.4,35.6,31,19.5,35.8,45.3,31.4,35.6,18.1,21.6,7.8,20
2016:Q1,Next 40%,29.3,31.3,42.5,41.9,12.1,44.5,13.6,26.7,43.7,48.5,34.6,19.7
2016:Q1,Bottom 50%,1.2,5.4,11.4,22.7,0.7,2.6,1.4,4,32.7,24.9,55.2,30.7
2016:Q2,Top 1%,31.1,27.7,15.1,16.1,51.6,7.6,54.1,33,5.6,5,2.5,29.9
2016:Q2,Next 9%,38.6,35.8,31.3,19.2,35.8,45.3,31,36.7,17.9,21.3,7.7,20.5
2016:Q2,Next 40%,29,31.1,42.4,42,12,44.5,13.5,26.4,44.5,49.7,35.1,20.2
2016:Q2,Bottom 50%,1.3,5.4,11.3,22.8,0.7,2.6,1.4,4,32,24,54.7,29.3
2016:Q3,Top 1%,31.4,27.9,14.9,16.1,51.8,7.7,54.8,33.3,5.7,5,2.6,29.9
2016:Q3,Next 9%,38.4,35.7,31.2,19,35.7,45.4,30.6,36.4,18,21.5,7.7,22.1
2016:Q3,Next 40%,28.9,31,42.6,42.2,11.8,44.3,13.3,26.3,44.1,48.9,35.6,21.2
2016:Q3,Bottom 50%,1.3,5.4,11.4,22.7,0.7,2.6,1.3,4,32.2,24.6,54.1,26.8
2016:Q4,Top 1%,31.6,28.1,15,16.2,51.9,7.7,54.8,34.1,5.6,5,2.5,30.4
2016:Q4,Next 9%,38,35.3,30.9,18.9,35.5,45.5,30.7,34.7,18,21.7,7.7,20.1
2016:Q4,Next 40%,29.2,31.2,42.8,42.1,11.8,44.3,13.1,27.2,43.7,48.2,35.9,20.2
2016:Q4,Bottom 50%,1.2,5.4,11.3,22.8,0.7,2.6,1.3,4,32.7,25.1,53.9,29.3
2017:Q1,Top 1%,31.8,28.4,15.2,16.6,52.4,7.8,55.2,33.3,5.5,4.9,2.4,30.2
2017:Q1,Next 9%,37.9,35.3,30.8,18.3,35.2,45.4,30.7,35.5,18.3,22,8,20.6
2017:Q1,Next 40%,29.1,31,43,41.9,11.7,44.2,12.8,27.1,43,47.5,35.3,19.5
2017:Q1,Bottom 50%,1.1,5.4,11.1,23.2,0.7,2.6,1.3,4.1,33.1,25.6,54.2,29.7
2017:Q2,Top 1%,31.9,28.4,14.9,16.7,52.7,7.8,55.3,33,5.4,4.9,2.4,28.7
2017:Q2,Next 9%,37.8,35.3,30.8,18.2,35,45.4,30.8,35.6,18.5,22.1,8,21.9
2017:Q2,Next 40%,29,30.8,42.7,41.9,11.6,44.2,12.7,27.4,42.7,47,35.6,19.5
2017:Q2,Bottom 50%,1.3,5.5,11.6,23.2,0.7,2.6,1.3,4.1,33.4,26,54,29.9
2017:Q3,Top 1%,32,28.6,14.8,16.9,52.9,7.9,55.6,32.9,5.4,4.9,2.3,29.1
2017:Q3,Next 9%,37.7,35.2,30.7,17.9,34.8,45.4,30.7,35.5,18.6,22.4,8.1,21.6
2017:Q3,Next 40%,29,30.7,42.7,41.8,11.5,44.1,12.4,27.6,42.1,46.1,35.7,19.2
2017:Q3,Bottom 50%,1.3,5.5,11.8,23.4,0.7,2.6,1.2,4.1,33.9,26.6,53.9,30.1
2017:Q4,Top 1%,32.5,29,14.9,17.3,53.4,7.9,56.3,32.9,5.3,4.8,2.2,26.7
2017:Q4,Next 9%,37.3,34.9,30.5,17.4,34.5,45.4,30.6,34.8,19.1,22.7,8.3,25.4
2017:Q4,Next 40%,29,30.6,42.9,41.7,11.3,44,12,28.2,41.4,45.1,36,19.3
2017:Q4,Bottom 50%,1.2,5.5,11.7,23.6,0.7,2.6,1.2,4.1,34.3,27.4,53.6,28.6
2018:Q1,Top 1%,32.2,28.8,14.7,17.1,53.3,7.9,55.8,32.4,5.3,4.8,2.3,26.6
2018:Q1,Next 9%,37.5,35.2,30.6,17.5,34.6,45.4,30.8,36.1,19.3,23,8.3,25.8
2018:Q1,Next 40%,29,30.5,42.6,41.6,11.4,44,12.1,27.5,40.6,44.2,35.5,19.1
2018:Q1,Bottom 50%,1.3,5.6,12.1,23.8,0.7,2.6,1.2,4.1,34.8,28.1,54,28.5
2018:Q2,Top 1%,32.2,28.8,14.4,17.3,53.4,7.9,56.1,32.2,5.2,4.7,2.2,26.4
