Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,2.838828589,-7.851674675,7.792447419,14.91276489,15.1513374,13.99288246,2.745079414,2.111599509,6.475072997,7.781293571,11.44696733,8.266114709,9.824047262,13.19074837,11.37468802,3.935287407,2.847816887,4.205572506,5.454050857,3.053639977,3.371123657,3.128906044,6.759671879,5.193696324,12.29515078,8.08541923,19.43814443,8.739515259,21.61663623,31.01283278,25.7895676,11.60334501,6.587417192,8.416401826,5.72771404,10.78106076,11.36647426,3.701837809,8.530357747,6.782192764,10.69052933,8.390045571,
Australia,AUS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.164075326,2.558517217,2.028227142,0.211868976,1.494665425,0.46210365,0.998190542,1.03539031,1.416998054,1.106050538,1.246018917,1.328417227,1.179913551,1.68951986,0.221613378,1.164384384,2.949819022,2.745431403,3.596879461,2.680931833,2.721491879,0.802945865,1.521153595,1.705193553,1.383712746,3.613367058,1.140125232,1.86117451,1.904644606,0.568932377,3.586745269,2.832402344,3.713762123,1.926147053,7.005444173,-3.618814635,4.09502424,5.209249708,4.28465048,3.091518205,3.072118666,4.693723914,3.722171874,3.42582358,4.306383954,3.469188226,3.555512757,3.574155963,4.335938186,2.772039585
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.732777973,0.799227887,0.659123094,0.544663564,0.503135897,0.197482692,0.212360453,0.187813705,0.229467876,0.253498584,0.291619756,0.461073498,0.291714012,0.299662997,0.169507119,0.243804294,0.185185793,0.318512006,0.33405512,0.437230957,0.392278454,0.207141577,0.761499204,0.590980049,1.019883828,0.757178434,1.822338447,1.254274219,2.094684079,1.369564751,4.319625509,2.883092982,0.064836384,2.367260905,1.058027579,25.66539715,3.125149478,17.71734068,1.464380046,3.573476841,-5.615650034,5.331213212,1.274621024,0.104891998,0.387373362,-2.088896441,-7.322194606,3.232015274,0.92651366,2.938975353
Azerbaijan,AZE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000251829,0.663862441,10.81256385,19.74616392,28.13304265,23.00678789,11.13926038,2.464373862,14.35913016,32.46670119,55.07590465,54.3652722,33.79504714,21.37906362,13.90071471,8.160909658,6.547600843,6.338044724,6.800620683,7.596083568,3.531931399,5.888108916,7.626336333,11.88265332,7.016879437,2.977946112,3.13005546
Burundi,BDI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.041197603,,0.166123341,0.144575222,0.063719451,0.076011909,0.017840706,-0.045659135,0.14584771,-0.038338821,0.500148595,1.143391787,0.088825529,0.280720857,0.120549796,0.046832717,0.12682003,0.120879772,0.110552499,0.050921501,0.11089421,0.076452053,0.055407891,0.050464886,0.000427861,0.198107378,0,0,0,-0.058805185,1.342151992,-0.001304856,0,0,0.004882857,0.052340423,0.002481106,0.036885808,0.23781629,0.019557301,0.038411912,0.150056708,0.025925408,4.761214324,3.021202699,1.598471459,0.001872536,0.009976175,0.032392796,
Belgium,BEL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.175757111,1.435198369,1.03737178,1.505954653,2.029158556,1.453450559,1.225906899,1.539028799,1.418122738,0.97156477,1.217999175,1.323832482,1.598528897,1.479281141,0.467153205,1.218860732,0.608121459,1.57631072,3.211644356,4.27489028,3.918892275,4.447539573,4.806934401,4.783692642,3.47657482,3.711024447,5.03718761,4.74788988,8.776794077,46.36411245,37.56859063,37.28873348,7.045850148,10.8888653,12.07427361,8.730432334,14.41994263,20.52873814,36.9532515,16.07046087,26.09241495,31.30695192,2.38023345,-5.682227349,-2.843930216,-4.22249473,12.09040699,-7.174259975,-10.09588489,-5.38599368
Benin,BEN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.008226185,0.835638863,1.16978475,0.693926704,-0.422446607,0.279190961,0.351140017,0.416775236,0.081107282,0.300788154,0.307173179,0.161898129,-0.000960154,0.000958313,0.001088613,-0.00860657,0.082329041,0.00640036,-1.336959782,-0.074450533,-0.150760025,0.019825555,0.056291442,-0.951216946,-0.444751627,-0.356668621,-0.620945778,0.537109689,0.46002923,0.253391355,-0.364395803,0.456987673,-0.464606485,0.199317158,-0.659871187,-0.133873602,-0.175920935,1.706123419,0.49455672,-0.193899058,0.561144791,1.508440422,2.527057585,2.878637331,3.054209443,1.159990463,1.114881282,1.058939569,0.986651816,
Burkina Faso,BFA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.087259211,0.207292002,-0.120982603,0.652070347,0.35546271,0.03191582,0.209923209,0.439346618,0.07861294,0.085216826,0.001036957,0.136836445,0.111145919,0.123728444,0.114392936,-0.092109892,0.154200991,0.05612204,0.141817368,0.216777215,0.014832481,0.018181553,0.138959121,0.136293174,0.969328341,0.412551084,0.627288466,0.39898399,0.157122676,0.235553535,0.781518538,0.196608607,0.416774208,0.615679458,0.263662831,0.848483257,1.281784376,0.285094472,0.352591062,0.601881606,0.384492249,1.190744868,2.62145971,3.647667554,2.562551392,1.959927164,3.046368383,0.018156016,1.656939975,
Bangladesh,BGD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,0.001431242,0.02893631,0.017582473,0.00793555,0.053572593,0.072322993,0.057974213,-0.051460025,0.046917946,0.026469536,0.037570041,0.002294153,-0.002924127,-0.029894396,0.011189931,0.013190726,0.006916145,0.000861339,0.010249846,0.004491464,0.011737576,0.042361655,0.033012231,0.004998378,0.029134955,0.288896568,0.380236167,0.350304291,0.525362089,0.145443905,0.095579368,0.445960783,0.689472336,1.17120896,0.635657188,0.817754424,1.449748396,0.879494542,1.068934861,0.983166534,1.18810285,1.73541854,1.468712877,1.451287647,1.05355241,0.724996264,1.072920799,0.527728291
Bulgaria,BGR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.019387274,0.510803242,0.400946215,0.369354299,1.086887367,0.476207946,0.886595383,4.460945746,3.574799738,6.008429812,7.560896912,5.731605871,5.515261,9.916246541,11.74617068,13.72019166,22.90436308,31.24701892,18.91424711,7.493703708,3.659213464,3.667499284,3.310468065,3.577967562,1.922536931,4.304700174,2.74518661,3.42720223,1.846773929,2.214224123
Bahrain,BHR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,-13.60487852,0.119671754,0.780566095,1.716035322,3.602315292,2.774743282,-1.0455694,-1.058491537,5.998132318,4.680938941,2.169265594,13.41821743,18.28257949,-5.288191223,3.740326911,7.361126807,33.56601753,5.186228818,2.902019672,6.852999957,4.011545582,0.895243944,2.261808944,4.665543678,6.580210025,6.566594458,15.75086501,8.08243219,6.977577827,1.12105291,0.605800046,2.71349353,5.023465326,11.45597327,4.548430831,0.208487848,0.754573831,1.464792793,0.295253204,
"Bahamas, The",BHS,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,14.91763485,9.532612487,15.3037739,15.24072142,22.68184693,2.948674941,2.273789129,4.403927069,-0.132148006,0.842252953,0.307047106,2.41149667,0.17740607,-0.346260388,-0.240066631,-1.301331551,-0.533872599,0.39793664,1.302388303,0.829523187,-0.536955148,-0.041785058,0.009649405,0.882923674,0.724148512,3.117526976,2.432806872,3.316299136,2.149791753,1.943031311,3.098507145,1.230729649,1.720383373,2.144284895,3.021438297,5.727971168,6.947601367,6.718093412,8.171729024,6.651599485,8.636992163,6.619575093,4.908082645,3.618885323,2.302488054,0.647327968,3.270120254,2.506811077,3.955126478,
Bosnia and Herzegovina,BIH,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.621115881,3.772741435,2.653080006,2.061147254,4.025939978,4.561411766,8.395432465,5.558366169,6.575891621,11.67373948,5.257501946,0.786376222,2.583954458,2.529460858,2.275383848,1.723436709,2.935964329,2.363067211,1.851782828,2.567144368,2.422290795,2.575792329
Belarus,BLR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041086957,0.108101523,0.070318665,0.105205324,0.708145893,2.488603004,1.334908888,3.657787145,0.932726195,0.775405865,1.693132683,0.963663961,0.707732068,1.014977462,0.966328359,3.991616143,3.600682329,3.688518931,2.435056533,6.480801966,2.228206919,2.973864618,2.362529221,2.926769593,2.612805022,2.332138504,2.376261878,2.018533251
Belize,BLZ,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,13.31867267,5.641194645,,,,,,,1.467351431,-0.032938076,,-1.01994058,,,-1.725891577,1.739999472,1.985854495,2.437006421,4.373723962,5.052367303,4.173881521,3.058098818,3.010193557,1.643273096,2.645973573,3.394392625,2.585035668,1.82710344,2.56171167,8.007221191,3.553230205,7.044957548,2.752410884,-1.110803839,10.60504745,11.51567224,8.99297976,11.0391426,12.55547782,8.262361377,7.003331185,6.527144386,12.75207885,5.840681964,8.4855082,3.429587185,1.844031941,1.395900877,6.388501868,
Bermuda,BMU,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.183158775,3.280366226,1.819859206,1.922292821,1.135720502,0.137152332,0.308131446,18.54303395,0.897674182,-1.628465661,10.46901725,2.807392192,-1.218450076,3.876992081,-4.645588668,0.859842473,0.985053866,,,,,,
Bolivia,BOL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.943356398,0.173417333,1.288549492,0.364221273,2.106082734,2.561527848,-0.296487826,-0.037181214,0.305995851,0.791614566,1.038234234,1.289002778,0.556600522,0.129093153,0.113461364,0.185967716,0.252631225,0.881205288,-0.219679089,-0.517389935,0.558798938,0.973186046,1.649570505,2.158796554,2.176804369,5.847909232,6.409384035,9.218144108,11.17146109,12.1966294,8.768250434,8.668583324,8.557893431,2.442354474,0.74577261,-2.498880031,2.451682367,2.791837867,3.072601838,2.43967815,3.165443541,3.584442125,3.913550138,5.706622138,1.989824849,1.680727879,0.988080149,1.899493284,0.750524781,-0.390115806
Brazil,BRA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.925400918,0.912518967,0.785629975,1.489296207,1.14889278,1.052466706,1.018483208,1.040464686,0.998999547,1.075256922,0.813106376,0.956135069,1.03307874,0.791423642,0.762592174,0.64635416,0.128665462,0.397505323,0.848675006,0.26574541,0.214091608,0.182961218,0.514479246,0.295112882,0.550427157,0.631608733,1.475965411,2.224865074,3.694817064,4.735492291,5.034128682,4.152126833,3.2653199,1.813120631,2.716381065,1.733900669,1.749493337,3.190894842,2.990663287,1.888455825,3.729955689,3.915113195,3.755022099,3.041524491,3.571425711,3.592144788,4.137362084,3.339346319,4.145494394,4.270087052
Barbados,BRB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.768958542,1.116208676,1.582317434,0.992531437,1.625477453,4.520763343,2.894454322,3.347679161,3.01995707,1.306616854,2.67282392,0.344084832,0.500725185,0.416576138,1.433142785,0.432814011,0.557283807,0.367464176,0.738375064,0.455674015,0.601949041,2.877965523,0.670002532,1.128869605,1.035130214,1.610513839,2.408790453,2.995741069,7.350499076,5.754830615,6.62895921,10.212368,8.115411932,10.19265248,12.8552327,7.972416417,9.389344649,9.86694442,11.45435281,2.225560213,16.04785428,14.60288321,11.54635577,5.748440393,3.83556473,
Brunei Darussalam,BRN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,47.76075082,-8.885033173,-1.395768465,0.066960368,0.193744821,0.072755017,-2.170672393,-0.189874752,0.235372803,0.012483148,-0.397052039,-0.254453867,0.145629281,0.094155024,0.021149904,0.10415447,-0.256508879,-0.00254133,0.017095811,0.334955862,0.198832471,0.135074277,0.167322084,0.194850769,0.144103572,12.31005697,12.77659781,13.501925,14.15031268,16.25801454,9.158360447,1.08362189,3.930498376,1.888281555,1.438021789,1.836754981,0.765769354,2.103544653,1.543688044,3.033690978,3.507036879,3.730949184,4.540677437,4.28679106,3.321314483,1.324701748,-1.320522338,3.858208317,3.804741353,2.771141487
Bhutan,BTN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533711778,0.239956002,,,,0.016498739,0.442448705,-0.191275383,,0.250640813,,,0.465664584,0.55795901,1.298109575,0.779343364,0.699745468,6.321598166,0.256066013,1.482941272,4.862689355,1.752382634,1.368715532,1.163503519,1.234075042,0.321968437,0.550454644,-0.675563046,0.108298554,
Botswana,BWA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,0.022873287,-10.77468316,3.029488242,2.70887401,6.913131204,15.59400595,10.51448807,8.235571501,2.076534659,2.029737944,5.009258402,4.809249962,5.055481313,5.779523019,1.509584743,1.367987666,2.529699692,-0.20826592,-0.037722892,-6.897679919,-0.332319066,1.488459308,1.468356845,1.994132797,1.989749587,0.668733486,0.987699683,0.558882745,7.501536088,5.565284413,4.36383784,4.23771954,4.808086327,4.521739635,4.759384717,2.032694156,1.707877432,1.909905174,1.131892968,0.450528732,3.170218404,2.625089598,0.780776308,1.017574004,1.225499903,
Central African Republic,CAF,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.634562881,0.347479439,0.651273717,-0.073750919,2.061132712,1.478899213,0.82012189,-0.560847351,0.996511686,3.247514248,0.67042774,0.832097612,1.223261014,0.67848512,0.80731978,0.345905908,0.727137987,0.990741019,-0.30258951,0.104157669,0.048437881,-0.353864316,-0.756175026,-0.780440981,0.423212354,0.555910243,1.084111039,0.159684103,0.754709452,0.598007105,0.097219751,0.55631182,0.569331815,0.991441318,1.188901252,0.755217887,2.373745081,3.343021816,5.899031947,2.053330203,2.871289444,1.513893178,2.790104474,0.109532616,0.183395779,0.176904972,0.397320141,0.331591448,0.810216757,
Canada,CAN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.078724516,2.289990441,1.866661923,2.4250125,2.321282131,1.947940462,1.186355813,1.593399298,1.71071795,2.18360601,2.122763378,0.21675003,0.028727072,1.356215268,1.596989221,0.344547723,0.717913443,1.993269728,1.418416936,1.269193177,1.414596719,0.575791877,1.184737663,0.723955646,1.650299407,2.261072613,1.402868239,2.325650141,3.953574436,4.061040441,9.201639209,3.855496808,3.230609335,0.785738558,0.141948898,2.185150089,4.888365531,8.222072375,4.52638317,1.527990701,1.841673352,2.143425226,2.699692305,3.628603158,3.558271366,3.854833887,2.237986195,1.764360902,2.711868383,2.58438846
Central Europe and the Baltics,CEB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.154231497,1.313947309,2.152369699,1.763536821,3.199466767,2.713335876,3.494352636,4.391225032,5.092217473,5.511172994,4.620621836,5.022290907,3.22526547,5.648913783,8.44161119,8.150587021,12.12622132,9.053385463,2.378124309,1.59907731,3.453220985,2.902324581,1.0723219,3.60969702,1.739401544,8.759421187,1.969295133,-1.475906803,2.950271086
Switzerland,CHE,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,0.577323359,0.731169939,1.17600493,1.37387097,1.199327369,0.193622542,1.235746492,2.148591612,1.087184706,0.415168502,0.64570401,1.258411483,1.213672373,1.478443592,2.928921692,3.845353722,5.015764995,8.483886475,3.504636375,2.739744533,5.588049222,1.801864139,0.652062696,12.47577839,10.14523321,0.539526277,8.801107709,3.02693574,2.968137248,5.979174634,-3.620379777,2.961591656,16.1823583,14.5825675,19.02839416,-10.8092787,-2.614562409
Channel Islands,CHI,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.135103896,-0.174290702,-0.009279711,-0.028509893,0.014250107,0.655977095,-0.00966938,0.150398627,1.131962166,1.119076275,0.733554183,1.109827162,1.583359753,0.663196455,0.39750231,0.815121359,1.670103143,4.001274713,3.716941086,4.294698261,1.996745304,2.174453509,2.036579343,2.098066372,4.52933051,4.026028906,6.169454628,6.205124781,5.672914638,11.6543488,6.241918165,5.916832274,3.656495171,5.322995327,6.851351402,6.068571208,4.901018925,7.761691959,10.28348767,8.037105618,7.330402955,9.573600861,11.34033082,7.480616564,9.110349292,8.632214366,4.845752857,2.112358747,2.039248169,
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,,,,,,,,,,4.49E-05,0.029819636,0.135296316,0.209664357,0.275698543,0.483945715,0.536046583,0.623424606,0.847702965,1.022558946,0.97565029,0.966308311,1.138837732,2.613162193,6.186882076,5.987156294,4.88044416,4.651826651,4.725334152,4.435577102,3.74900388,3.475082246,3.51300212,3.609099885,3.48740331,3.483641114,4.554254034,4.508579016,4.400965217,3.733635039,2.568888613,4.003562471,3.708828754,2.827090312,3.039875621,2.559233465,2.19218166,1.555642065,1.349132758,1.693905347,1.086358503
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,2.109265461,0.991081365,1.01113842,2.033151342,1.061836712,1.773570932,0.960520895,0.233836254,1.054486899,0.817571086,0.930263143,0.388374223,0.627320093,0.548829809,0.317760129,0.417905738,0.772523099,0.86749612,0.50413594,0.189496996,0.448639331,0.176551426,0.619151989,1.585708379,1.413817942,1.925072852,2.217557622,3.544216163,6.026776831,1.901556235,2.189990105,2.436260142,1.721728423,1.080517839,1.709389139,2.043084803,1.971613004,2.181526283,1.933455593,1.637832746,1.439124272,1.18817211,1.232800532,1.30333243,1.242401177,1.079150197,1.204796719,1.889997672,1.074635844,
Cameroon,CMR,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.379307656,0.137764368,0.23061581,0.176263815,0.957660331,0.984462549,0.533057282,0.258751483,0.919482998,1.068579971,1.926015109,1.772981849,1.521803398,2.896578366,0.226454442,3.88095695,-0.853957289,0.942298428,0.739296882,-0.769605211,-1.011797042,-0.116596577,0.256256396,0.033040869,0.034662885,0.156634183,0.993181874,1.38103598,0.520419186,0.312632771,1.583786119,-0.112506206,4.363425796,2.301822023,0.390024181,1.357559593,0.305446114,0.847659504,0.079499007,2.868317259,2.049213528,2.223852431,1.812074538,1.691748014,2.074492831,2.244962678,2.033757338,2.326409859,1.977283614,
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,0.131824833,0.102595811,0.169590007,0.22515198,0.541629839,0.089085614,2.471140005,0.14735397,0.635415929,0.954645402,0.76151825,0.555359658,-0.017360517,-1.751567485,-0.412969182,0.961634332,0.06855773,-0.718907498,-0.044463002,-0.067724373,-0.1546563,0.12872143,-0.008872851,0.064168067,-0.025771503,-0.396035086,0.429527741,-0.728142522,0.986712242,0.236879335,0.493452282,1.37428477,2.149379762,4.377642382,3.972162862,1.504452594,1.772085029,10.80236746,8.726273415,-1.304135197,12.71601409,6.176624593,9.866868697,5.194611572,4.176029605,3.074342219,2.510784143,2.756443254,2.74312743,
"Congo, Rep.",COG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,,,,,,,,,,,1.854810525,15.11821297,16.14437845,12.60209537,7.875433058,2.007553933,0.315419954,0.259574137,0.460917801,1.374901961,2.346836848,1.547166328,1.636056338,2.673923924,1.593218571,0.587247631,1.213436652,1.890931886,0.41107739,-0.298176848,0.805773651,1.202028974,0.093379631,14.90665916,0.168987138,5.329956171,2.45710534,-2.118241599,-8.703069674,-2.900434542,-3.040392694,-4.844261048,6.594565028,6.280145534,1.90162062,13.15912311,19.24256631,16.9436981,16.35987839,12.34460901,12.65221428,2.06506144,-0.506347596,13.3310487,20.33806204,49.99790722,0.559327796,48.76541089,36.98237638,
